country,city,standardConnector,connectorType,durationCharge,durationSession,energy,tariff,cost,meanPower,maxPower,startDate,startTimestamp,weekDayStart,yearStart,hourStart,minuteStart,endDate,endTimestamp,weekDayEnd,yearEnd,hourEnd,minuteEnd,anomaly,class
France,Paris,TE,Rapid,3.73,3.73,10.654,0.0,0.0,2.856,21,24/05/2017 20:43:00+0200,1495651380.0,2,2017.0,20,43,25/05/2017 00:27:00+0200,1495664820.0,3,2017.0,0,27,0,Normal
France,Paris,TE,Rapid,3.28,3.27,9.337,1.11,10.36,2.847,21,27/05/2017 20:47:00+0200,1495910820.0,5,2017.0,20,47,28/05/2017 00:03:00+0200,1495922580.0,6,2017.0,0,3,0,Normal
France,Paris,CCS,Rapid,0.23,0.23,2.466,0.28,0.69,10.722,31,04/05/2017 08:40:00+0200,1493880000.0,3,2017.0,8,40,04/05/2017 08:54:00+0200,1493880840.0,3,2017.0,8,54,0,Normal
France,Paris,CCS,Rapid,0.24,0.23,2.529,0.0,0.0,10.537,31,23/05/2017 15:37:00+0200,1495546620.0,1,2017.0,15,37,23/05/2017 15:51:00+0200,1495547460.0,1,2017.0,15,51,0,Normal
France,Paris,TE,Rapid,2.51,2.5,3.9,0.0,0.0,1.554,21,05/05/2017 16:35:00+0200,1493994900.0,4,2017.0,16,35,05/05/2017 19:05:00+0200,1494003900.0,4,2017.0,19,5,0,Normal
France,Paris,CCS,Rapid,0.23,0.23,4.311,0.88,3.79,18.743,11,02/05/2017 08:27:00+0200,1493706420.0,1,2017.0,8,27,02/05/2017 08:41:00+0200,1493707260.0,1,2017.0,8,41,0,Normal
France,Paris,CHAdeMO,Rapid,1.0,1.0,10.416,0.0,0.0,10.416,32,21/05/2017 01:08:00+0200,1495321680.0,6,2017.0,1,8,21/05/2017 02:08:00+0200,1495325280.0,6,2017.0,2,8,0,Normal
France,Paris,CHAdeMO,Rapid,0.31,0.32,2.709,0.24,0.65,8.739,32,12/05/2017 13:52:00+0200,1494589920.0,4,2017.0,13,52,12/05/2017 14:11:00+0200,1494591060.0,4,2017.0,14,11,0,Normal
France,Paris,CHAdeMO,Rapid,0.71,0.72,5.271,1.05,5.53,7.424,32,22/05/2017 00:33:00+0200,1495405980.0,0,2017.0,0,33,22/05/2017 01:16:00+0200,1495408560.0,0,2017.0,1,16,0,Normal
France,Paris,CHAdeMO,Rapid,0.22,0.23,2.085,0.0,0.0,9.477,32,22/05/2017 20:47:00+0200,1495478820.0,0,2017.0,20,47,22/05/2017 21:01:00+0200,1495479660.0,0,2017.0,21,1,0,Normal
France,Paris,CHAdeMO,Rapid,0.34,0.33,3.153,0.0,0.0,9.274,32,06/05/2017 11:38:00+0200,1494063480.0,5,2017.0,11,38,06/05/2017 11:58:00+0200,1494064680.0,5,2017.0,11,58,0,Normal
France,Paris,CHAdeMO,Rapid,0.96,0.97,10.332,0.0,0.0,10.763,32,05/05/2017 19:59:00+0200,1494007140.0,4,2017.0,19,59,05/05/2017 20:57:00+0200,1494010620.0,4,2017.0,20,57,0,Normal
France,Paris,CCS,Rapid,0.73,0.73,8.046,0.22,1.77,11.022,11,26/05/2017 17:57:00+0200,1495814220.0,4,2017.0,17,57,26/05/2017 18:41:00+0200,1495816860.0,4,2017.0,18,41,0,Normal
