,Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
24,11684188,617635,51426,2,31/01/2021,21:17,31/01/2021,21:22,2.598,0.76,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA24C3504,Nissan LEAF
25,11684164,612635,50265,2,31/01/2021,21:14,01/02/2021,06:55,34.27,0.0,"Turriff House, Rannoch Road, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,805E802A5C3F04,
26,11684127,617635,51426,2,31/01/2021,21:08,31/01/2021,21:12,2.237,0.71,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA24C3504,Nissan LEAF
27,11684123,626025,50676,1,31/01/2021,21:07,01/02/2021,07:22,23.59,3.91,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8.06E+14,BMW i3
28,11684104,607855,51421,2,31/01/2021,21:05,31/01/2021,21:55,18.714,3.18,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,803E699A3F2D04,Nissan LEAF
29,11684087,625088,52159,1,31/01/2021,21:02,01/02/2021,07:31,39.779,6.33,"East District Housing Office, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,8.0617E+13,BMW i3
30,11684058,615980,51585,2,31/01/2021,20:58,31/01/2021,21:13,11.074,2.04,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA2539304,Nissan LEAF
31,11683950,607753,51549,2,31/01/2021,20:50,31/01/2021,20:59,7.083,1.44,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804377FA2E5B04,Nissan LEAF
32,11683939,621969,51584,2,31/01/2021,20:48,31/01/2021,21:13,6.922,1.41,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,806169924A6B04,Nissan LEAF
33,11683925,626025,50677,2,31/01/2021,20:46,31/01/2021,23:45,11.49,2.1,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8.06E+14,BMW i3
34,11683798,612889,51597,2,31/01/2021,20:28,01/02/2021,09:09,12.956,0.0,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,805E8182246D04,Nissan LEAF
35,11683691,625088,50677,1,31/01/2021,20:13,01/02/2021,07:24,24.26,4.01,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8.0617E+13,BMW i3
36,11683642,626573,52667,1,31/01/2021,20:04,31/01/2021,22:09,157.398,23.98,Green Market HGV,Dundee City Council Private,Swarco Raption 150 CCS/CHA,,,8062E2CA662104,
37,11683631,618311,51585,2,31/01/2021,20:03,31/01/2021,20:13,7.724,1.53,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612464004,Nissan LEAF
38,11683615,526342,51425,2,31/01/2021,20:00,31/01/2021,20:10,6.526,1.35,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062E14A3B5E04,Nissan LEAF
39,11683595,628777,51593,2,31/01/2021,19:58,31/01/2021,20:58,27.584,4.51,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F6172247304,Nissan LEAF
40,11683580,533546,51547,2,31/01/2021,19:56,,,,,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8069C09A534104,Mitsubishi Outlander PHEV
41,11683578,519478,51426,2,31/01/2021,19:55,31/01/2021,20:19,15.682,2.73,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8056E292252904,Nissan LEAF
42,11683554,615980,51584,2,31/01/2021,19:52,31/01/2021,19:57,4.04,0.98,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA2539304,Nissan LEAF
43,11683517,603589,51549,2,31/01/2021,19:45,31/01/2021,19:51,2.878,0.81,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804F0BC23A8504,Nissan LEAF
44,11683496,526975,51422,2,31/01/2021,19:41,31/01/2021,20:05,16.225,2.81,"Princes Street Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062E2E2362204,Nissan LEAF
45,11683454,603776,51426,2,31/01/2021,19:35,31/01/2021,19:52,1.732,0.63,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804F0BC2446F04,Peugeot iOn
46,11683440,603589,51549,2,31/01/2021,19:32,31/01/2021,19:38,2.982,0.82,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804F0BC23A8504,Nissan LEAF
47,11683405,622113,51422,2,31/01/2021,19:27,31/01/2021,19:40,9.678,1.83,"Princes Street Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,806169921B6204,Nissan LEAF
48,11683402,624468,51421,2,31/01/2021,19:26,31/01/2021,20:00,8.268,1.62,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8.06E+14,Nissan LEAF
